playerid,mlbamid,name,season,age,g,gs,ip,tbf,h,er,hr,so,bb,ibb,hbp,babip,lob_percent,fip,x_fip,ld_percent,hr_fb,f_bv,c_tv,s_fv,o_swing_percent,c_sw_str_percent,x_era,position,ev90,barrels,barrel_percent,k_percent,bb_percent,k_minus_bb_percent,era,xera_gap,fip_era_gap
21487,663568,Stephen Kolek,2024,27,42,0,46.2,211,59,27,4,39,12,0,3,0.35947712418300654,0.64327485,3.573622690901472,3.463742545778873,0.236842105,0.129032258,95.41935484,91.44776119,NA,0.32957111,0.27033792,4.46,RP,105.1,6,0.03821656,18.48341232227488,7.109004739336493,11.374407582938387,5.259740259740259,0.7997402597402594,1.6861175688387875
18548,656529,Sam Hentges,2024,27,25,0,23.2,91,18,8,3,27,5,0,0,0.26785714285714285,0.79787234,3.166479778289795,2.7963459078059314,0.175438596,0.15,95.02439024,NA,NA,0.32142857,0.33333333,2.57,RP,104,3,0.05084746,29.67032967032967,5.4945054945054945,24.175824175824175,3.1034482758620694,0.5334482758620696,-0.0630315024277257
22051,667463,John King,2024,29,56,0,60,248,58,19,5,38,14,1,1,0.2789473684210526,0.75757576,3.733146625095001,3.7838196125365764,0.150259067,0.111111111,93.54158607,NA,NA,0.35902637,0.24941725,3.83,RP,103.6,12,0.06153846,15.32258064516129,6.451612903225806,8.870967741935484,2.8499999999999996,-0.9800000000000004,-0.8831466250950015
30085,676508,Ben Casparius,2024,25,3,0,8.1,37,9,2,0,12,4,0,0,0.42857142857142855,0.76923077,1.7264797233581524,3.3594488643705973,0.333333333,0,95.53947368,91,NA,0.34177215,0.34615385,3.56,RP,102,1,0.04761905,32.432432432432435,10.81081081081081,21.621621621621625,2.2222222222222223,-1.3377777777777777,0.49574249886406996
7146,543339,Daniel Hudson,2024,37,65,0,63,253,46,21,10,63,19,1,1,0.225,0.78846154,4.182352855674688,4.062871592947487,0.135294117,0.12345679,95.15913201,NA,NA,0.30636833,0.27727728,3.8,RP,104.1,21,0.12352941,24.90118577075099,8.300395256916996,16.600790513833992,3,-0.7999999999999998,-1.1823528556746883
22387,670174,Josh Winckowski,2024,26,40,6,76,336,81,35,10,60,26,3,4,0.3008474576271186,0.69072165,4.482269384061874,4.144487508433421,0.199170124,0.144927536,95.12008282,90.470726,NA,0.31616595,0.25887097,4.37,RP,103.8,15,0.06097561,17.857142857142858,9.821428571428571,8.035714285714286,4.144736842105263,-0.22526315789473728,-0.33753254195661153
22253,669308,Sean Reynolds,2024,26,9,0,11,49,10,1,0,21,5,0,1,0.45454545454545453,0.9375,0.9846612181544634,2.359214553060926,0.142857142,0,96.89090909,NA,NA,0.32638889,0.34222222,1.88,RP,100.4,0,0,42.857142857142854,12.244897959183673,30.61224489795918,0.8181818181818182,-1.0618181818181816,-0.16647939997264516
29628,689690,Alek Jacob,2024,26,7,0,14.2,57,9,4,1,19,2,0,2,0.24242424242424243,0.77586207,2.280116045869076,2.9401247146679528,0.264705882,0.066666666,86.6484375,NA,NA,0.26515152,0.36206897,2.74,RP,101.4,1,0.02941176,33.33333333333333,7.017543859649122,26.315789473684205,2.535211267605634,-0.20478873239436624,0.25509522173655785
20447,660600,Enoli Paredes,2024,28,18,0,21.2,87,13,4,0,16,10,0,2,0.22033898305084745,0.84,3.3510952008264385,4.816580572492873,0.186440677,0,93.86934673,NA,NA,0.30769231,0.28213166,4.22,RP,102.9,5,0.08474576,18.39080459770115,13.793103448275861,4.597701149425287,1.6981132075471699,-2.52188679245283,-1.6529819932792686
19531,671345,Jason Foley,2024,28,69,0,60,250,51,21,5,46,20,2,2,0.2598870056497175,0.68181818,3.81647990226748,4.093954187457847,0.227777777,0.092592592,96.95826087,NA,NA,0.29936306,0.27593819,4.2,RP,105.5,12,0.06593407,18.4,9.6,8.799999999999999,3.15,-1.0500000000000003,-0.6664799022674801
27779,693821,Bryce Elder,2024,25,10,10,49.2,226,64,36,8,46,17,0,2,0.3660130718954248,0.64066852,4.555741594391987,3.9534948233841756,0.1875,0.163265306,90.58995816,NA,NA,0.30943396,0.28587963,5.04,SP,104.1,14,0.08695652,20.353982300884958,8.4070796460177,11.946902654867259,6.585365853658536,1.5453658536585362,2.0296242592665497
17796,622253,Dillon Tate,2024,30,33,0,36.2,164,42,19,2,27,12,0,4,0.33613445378151263,0.67028986,3.7119344041367333,4.4461243546487665,0.214876033,0.057142857,92.68025078,NA,NA,0.29447853,0.25888325,3.83,RP,102.9,6,0.04958678,16.463414634146343,9.75609756097561,6.707317073170733,4.723756906077348,0.893756906077348,1.0118225019406148
21132,664747,Alexis Diaz,2024,27,60,0,56.1,242,42,25,6,55,31,1,6,0.25,0.67988669,4.568846768813003,5.063058442467817,0.197278911,0.085714285,93.9664311,NA,NA,0.27836879,0.26202661,3.7,RP,103.3,10,0.06666667,22.727272727272727,15.702479338842975,7.024793388429751,4.0106951871657754,0.31069518716577527,-0.5581515816472278
20369,666159,Matt Manning,2024,26,5,5,27.2,123,31,15,3,23,12,0,0,0.32941176470588235,0.72164948,4.214672645724457,5.209674057923791,0.193181818,0.068181818,93.89099526,NA,88,0.29955947,0.26940639,4.68,SP,104.1,8,0.09090909,18.69918699186992,9.75609756097561,8.94308943089431,4.963235294117648,0.2832352941176479,0.7485626483931904
15467,594835,Marco Gonzales,2024,32,7,7,33.2,151,43,17,5,23,11,0,0,0.3392857142857143,0.78723404,4.7110343504087675,4.801342622972623,0.201754385,0.111111111,89.7972973,85.78461538,NA,0.3659306,0.24908425,6.53,SP,106.5,13,0.11111111,15.2317880794702,7.28476821192053,7.9470198675496695,4.608433734939759,-1.9215662650602416,-0.1026006154690089
16201,605121,Justin Anderson,2024,31,56,0,53.1,242,48,26,5,57,32,1,3,0.296551724137931,0.71052632,4.216480028629363,4.755439929360336,0.202702702,0.080645161,95.68988764,92.38888889,NA,0.3426087,0.27619048,4.91,RP,104.4,13,0.08666667,23.553719008264462,14.87603305785124,8.677685950413222,4.406779661016949,-0.5032203389830512,0.1902996323875863
22192,668968,Hans Crouse,2024,25,25,0,25.1,107,14,8,2,34,17,1,2,0.23076923076923078,0.7615894,3.7585851157471177,4.701859342217234,0.132075471,0.06060606,92.60730594,NA,NA,0.31617647,0.31350114,3.49,RP,101.6,5,0.09259259,31.775700934579437,18.69158878504673,13.084112149532707,2.8685258964143427,-0.6214741035856575,-0.890059219332775
20794,655889,Manuel Rodriguez,2024,27,40,0,37.2,158,29,9,3,34,11,1,5,0.24761904761904763,0.78431373,3.6709046421936957,4.040470037788355,0.192307692,0.085714285,96.76160991,NA,NA,0.31412104,0.28099174,3.41,RP,105.1,3,0.02777778,21.518987341772153,10.759493670886076,10.759493670886076,2.1774193548387095,-1.2325806451612906,-1.4934852873549862
18335,622251,Josh Staumont,2024,30,25,0,24.1,102,17,10,0,18,14,0,1,0.2463768115942029,0.625,3.536342840307453,5.027638997431875,0.176470588,0,94.8974359,NA,NA,0.29718876,0.28571429,4.37,RP,103.4,2,0.02898551,17.647058823529413,14.705882352941178,2.9411764705882355,3.734439834024896,-0.6355601659751042,0.19809699371744305
18769,547001,Cody Poteet,2024,29,5,4,24.1,96,18,6,2,16,8,0,1,0.2318840579710145,0.82644628,4.029493488194371,4.328021640185355,0.267605633,0.09090909,93.06862745,NA,NA,0.27542373,0.23376623,5.01,SP,103.6,4,0.05633803,16.666666666666664,9.375,7.291666666666664,2.2406639004149373,-2.7693360995850624,-1.7888295877794333
17755,622098,Drew Smith,2024,30,19,0,17.2,79,18,6,2,23,9,0,0,0.35555555555555557,0.82644628,3.5627063359769995,4.230643000250978,0.212765957,0.08,94.76973684,88.96808511,NA,0.34615385,0.26829268,4.43,RP,107.3,5,0.10638298,29.11392405063291,11.39240506329114,17.72151898734177,3.1395348837209305,-1.2904651162790692,-0.423171452256069
26952,683627,Anthony Molina,2024,22,35,1,59.2,264,72,45,5,41,22,1,2,0.34536082474226804,0.56179775,4.088267556542279,4.468655644594422,0.287878787,0.086206896,94.81422925,NA,NA,0.27364865,0.22974261,5.94,RP,105.3,15,0.07537688,15.530303030303031,9.469696969696969,6.060606060606062,6.841216216216216,0.9012162162162154,2.7529486596739368
18864,658648,Pedro Avila,2024,27,54,0,82.2,353,73,35,8,82,36,1,4,0.2914798206278027,0.7367387,3.8922863192166415,4.02429406376157,0.218340611,0.105263157,93.37671233,NA,NA,0.30957944,0.26001405,4.62,RP,104.1,12,0.05194805,23.229461756373937,11.614730878186968,11.614730878186968,3.8321167883211675,-0.7878832116788326,-0.060169530895473944
15094,642239,Rob Zastryzny,2024,32,9,3,7.2,29,4,1,0,5,1,0,1,0.18181818181818182,0.83333333,2.644740474787404,4.8141445598552854,0.142857142,0,91.60869565,86.80327869,NA,0.35384615,0.2231405,1.72,RP,100.7,1,0.04545455,17.24137931034483,6.896551724137931,10.344827586206899,1.25,-0.47,-1.3947404747874041
15068,622075,Yency Almonte,2024,30,17,0,15.2,67,9,6,1,20,8,1,2,0.2222222222222222,0.68181818,3.3579691710759256,3.879338469779127,0.189189189,0.071428571,93.86821705,92.57142857,NA,0.29239766,0.2761194,3.31,RP,103,3,0.08108108,29.850746268656714,16.417910447761194,13.43283582089552,3.5526315789473686,0.24263157894736853,0.19466240787144296
16835,657514,Brennan Bernardino,2024,32,57,3,51,226,50,23,6,56,22,6,6,0.3235294117647059,0.76149425,4.146872265143764,3.981232732649937,0.215827338,0.130434782,91.44139651,85.85806452,NA,0.27562642,0.29767442,3.88,RP,104.4,9,0.06338028,24.778761061946902,15.04424778761062,9.734513274336281,4.0588235294117645,0.1788235294117646,-0.08804873573199945
18311,608334,Carson Fulmer,2024,30,37,8,86.2,379,81,40,11,81,40,4,5,0.2892561983471074,0.7323689,4.504941414940294,4.564674001742361,0.20318725,0.112244897,92.90634006,87.95983936,NA,0.32438479,0.2734057,4.74,RP,105.8,24,0.09486166,21.372031662269126,12.928759894459102,8.443271767810025,4.176334106728538,-0.5636658932714624,-0.32860730821175643
26034,687424,Anthony Maldonado,2024,26,16,1,19,82,21,12,1,11,7,3,0,0.31746031746031744,0.60150376,3.798058757359303,5.10333304158842,0.25,0.04,93.05825243,91.3,NA,0.33149171,0.27272727,3.62,RP,100.4,2,0.03125,13.414634146341465,12.195121951219512,1.2195121951219523,5.684210526315789,2.0642105263157893,1.8861517689564864
30140,680744,Ty Madden,2024,24,6,1,23,101,25,11,2,17,8,0,1,0.3150684931506849,0.70512821,3.992566734811534,4.834316829883534,0.148648648,0.066666666,94.16753927,87.97260274,85.27868852,0.33333333,0.23573201,4.08,RP,103.9,6,0.08,16.831683168316832,8.91089108910891,7.9207920792079225,4.304347826086957,0.22434782608695691,0.3117810912754231
