Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Bligh Madris","PIT",39,123,1,10,7,2,0.081300813,0.25203252,0.088495575,0.234567901,0.17699115,0.243902439,0.265486725,0.23086170452397045,0.262,42.49553443406731,0.22107453178614378,-7.996677811038332,-1.8370008915662766,-0.5887034899820307,26,12,7,0,10,0,0,0,0,31,20,113,4,"Bligh Madris",20054,676632
"Alan Trejo","COL",35,125,4,15,17,1,0.04,0.248,0.152542373,0.337349397,0.27118644,0.312,0.423728813,0.3214858474731445,0.291,93.87974442978282,-0.6099057062529027,-1.4987505076472698,1.2365572154521942,0.4234838800261056,26,22,6,0,5,0,2,0,0,31,32,118,4,"Alan Trejo",20056,676701
"Jonathan Aranda","TBR",32,87,2,10,6,0,0.091954022,0.264367816,0.128205128,0.245283018,0.192307692,0.275862068,0.32051282,0.2637905651746794,0.279,72.94023202203718,0.4459145595319569,-2.203260539557894,-2.4290137887001038,-0.19764888861270594,24,9,4,0,8,1,1,0,0,23,15,78,4,"Jonathan Aranda",21837,666018
"Triston Casas","BOS",27,95,5,11,12,1,0.2,0.242105263,0.210526315,0.208333333,0.197368421,0.357894736,0.407894736,0.3438134381645604,0.325,119.64873523722386,-0.12511789985001087,1.9753959485200037,-1.0378629565238953,0.41370987144276655,22,9,1,0,19,0,0,0,0,23,15,76,4,"Triston Casas",22514,671213
"Nate Eaton","KCR",44,122,1,16,12,11,0.081967213,0.245901639,0.122641509,0.346153846,0.264150943,0.330578512,0.386792452,0.3134447326344892,0.297,99.52792099691641,3.0854190289974213,3.0206090533362606,0.6088852286338806,0.7859597278695348,25,20,4,3,10,0,2,3,1,30,28,106,4,"Nate Eaton",25055,681987
"Ryan Kreidler","DET",26,84,1,8,6,0,0.071428571,0.261904761,0.054794521,0.23076923,0.178082191,0.243902439,0.232876712,0.21839651029284407,0.273,38.050943101717635,0.2957983100786805,-5.559935527417013,4.634288251399994,0.18157750368520376,24,11,1,0,6,0,1,2,2,22,13,73,4,"Ryan Kreidler",25867,668952
"Corbin Carroll","ARI",32,115,4,13,14,2,0.069565217,0.269565217,0.240384616,0.333333333,0.259615384,0.330434782,0.5,0.35757199733153633,0.293,130.09458166501372,1.4977112072519958,5.5186967990620985,3.7060781717300415,1.3834999876000087,21,12,9,2,8,0,3,0,0,31,27,104,4,"Corbin Carroll",25878,682998
"Spencer Steer","CIN",28,108,2,12,8,0,0.101851851,0.24074074,0.115789474,0.268656716,0.210526315,0.305555555,0.326315789,0.2866486796626338,0.281,76.72983946310697,-0.33461837749928236,-3.2545286148691113,-1.2883121371269226,-0.08730633358070959,24,13,5,0,11,0,2,0,0,26,20,95,4,"Spencer Steer",26323,668715
"Josh Smith","TEX",73,253,2,23,16,4,0.110671936,0.197628458,0.051643193,0.243902439,0.197183098,0.306772908,0.248826291,0.2618027338943633,0.296,67.52857856718268,0.26876774709671736,-8.975854389925724,0.3048737645149231,-0.07080147122165689,24,35,5,0,28,0,7,3,2,50,42,213,4,"Josh Smith",26396,669701
"Garrett Mitchell","MIL",28,68,2,9,9,8,0.088235294,0.411764705,0.147540984,0.548387096,0.311475409,0.373134328,0.459016393,0.3646986413357863,0.266,136.23791684104225,1.7851797733455896,4.6481610154884,0.535205215215683,0.7895857961796574,23,14,3,0,6,0,0,0,1,28,19,61,4,"Garrett Mitchell",27555,669003
"Alec Burleson","STL",16,53,1,4,3,1,0.094339622,0.16981132,0.083333333,0.210526315,0.1875,0.264150943,0.270833333,0.2446066770913466,0.325,55.973234475229425,0.1498614426527638,-2.561197851033766,-1.583704650402069,-0.24397008224681813,23,7,1,0,5,0,0,0,0,9,9,48,4,"Alec Burleson",27615,676475
"Robinson Canó","- - -",33,104,1,5,4,0,0.038461538,0.240384615,0.04,0.189189189,0.15,0.182692307,0.19,0.16902418090746954,0.237,5.174485118275992,-1.9755225093103945,-13.433419530004983,-3.2853687927126884,-1.3801689700515203,39,13,1,0,4,0,0,0,0,25,15,100,3,"Robinson Cano",3269,429664
"Matt Davidson","- - -",13,37,2,3,3,0,0.081081081,0.351351351,0.176470588,0.157894736,0.147058823,0.216216216,0.323529411,0.23950776216146108,0.29,52.87081840719981,-0.4220142336562276,-2.382736973760245,-1.6598011404275894,-0.29789868173739015,31,3,0,0,3,0,0,0,0,13,5,34,3,"Matt Davidson",7226,571602
"Tommy La Stella","SFG",60,195,2,17,14,0,0.056410256,0.153846153,0.111111112,0.271523178,0.238888888,0.282051282,0.35,0.2767438408655998,0.267,78.45003383069165,-0.6389546659775078,-5.521289607858018,-8.038581371307373,-0.7201565116166229,33,27,14,0,11,0,1,3,0,30,43,180,3,"Tommy La Stella",12371,600303
"Albert Almora Jr.","CIN",64,235,5,26,29,3,0.072340425,0.19574468,0.125581396,0.26060606,0.223255813,0.282051282,0.348837209,0.27900941784565264,0.27,71.50630866088564,0.14907262567430735,-7.630629048876592,4.688147068023682,0.538954950909202,28,32,10,1,17,0,1,1,1,46,48,215,3,"Albert Almora Jr.",14109,546991
"Lewis Brinson","SFG",16,39,3,5,4,1,0.051282051,0.358974358,0.305555556,0.157894736,0.166666666,0.210526315,0.472222222,0.2894815018302516,0.264,87.15971887502545,0.14183261012658477,-0.43998318213499554,-1.0476696193218231,-0.015482008533704157,28,1,2,0,2,0,0,0,1,14,6,36,3,"Lewis Brinson",14352,621446
"Johan Camargo","PHI",52,166,3,8,15,0,0.078313253,0.222891566,0.078947368,0.294642857,0.236842105,0.296969696,0.315789473,0.27557352167187316,0.267,75.07770024091714,-0.8641765960492194,-5.670827364186197,2.0534514784812927,0.21913424672570714,28,30,3,0,13,0,0,0,1,37,36,152,3,"Johan Camargo",14950,622666
"Adam Engel","CHW",119,260,2,32,17,12,0.042307692,0.292307692,0.085714286,0.317365269,0.224489795,0.269230769,0.310204081,0.2563050838050695,0.246,63.12193791649429,1.0183689096011221,-9.771316498312322,0.3377734422683716,-0.12763716137395298,30,39,13,1,11,1,4,0,0,76,55,245,3,"Adam Engel",15082,641553
"Mike Ford","- - -",50,149,3,9,10,0,0.114093959,0.268456375,0.106870229,0.272727272,0.20610687,0.302013422,0.312977099,0.2801705682837723,0.278,81.04681983461695,-1.1900264001451433,-4.421958006675997,-3.0524320416152477,-0.28683063529090985,29,19,5,0,17,0,1,0,0,40,27,131,3,"Mike Ford",15585,645801
"Michael Hermosillo","CHC",31,73,0,7,4,1,0.09589041,0.369863013,0.032786885,0.205882352,0.114754098,0.25,0.147540983,0.20339259339703453,0.259,28.876389397002953,0.6577937230467796,-5.374507522595266,0.8733425736427307,-0.20921422803286616,27,5,2,0,7,0,4,0,1,27,7,61,3,"Michael Hermosillo",16285,641684
"Sergio Alcántara","- - -",93,224,6,26,29,1,0.053571428,0.254464285,0.136585365,0.267123287,0.219512195,0.261261261,0.35609756,0.2685848192588703,0.244,70.32961908775563,-0.1682205148972571,-7.8900019731704685,0.10177616775035858,-0.0095196911882941,25,30,8,1,12,0,1,4,2,57,45,205,3,"Sergio Alcantara",16417,642727
"Jason Vosler","SFG",36,111,4,14,12,1,0.09009009,0.261261261,0.204081633,0.333333333,0.265306122,0.342342342,0.469387755,0.3486826517365196,0.312,127.63994294260645,-0.0012179343029856682,3.5633466415382107,-2.2950614392757416,0.5336650750082005,28,15,6,1,10,1,2,1,0,29,26,98,3,"Jason Vosler",16686,613564
"Meibrys Viloria","TEX",26,75,2,10,5,0,0.146666666,0.386666666,0.111111111,0.242424242,0.158730158,0.28,0.269841269,0.25558158715566,0.243,63.13657956047681,0.3886393094435334,-2.7225342274673636,4.4357194900512695,0.42877741960804316,25,7,1,0,11,0,0,1,0,29,10,63,3,"Meibrys Viloria",17109,650619
"Cole Tucker","PIT",18,63,0,3,2,1,0,0.396825396,0.047619048,0.289473684,0.174603174,0.174603174,0.222222222,0.17170595176636227,0.198,2.0463517694436226,0.19533312367275357,-6.974474961015365,-2.579121470451355,-0.7757822167545151,25,9,1,1,0,0,0,0,0,25,11,63,3,"Cole Tucker",17326,657061
"Myles Straw","CLE",152,596,0,72,32,21,0.090604026,0.145973154,0.052336449,0.261061946,0.220560747,0.291245791,0.272897196,0.25701519766640585,0.275,65.36715869675572,5.812488907948136,-17.41497135455768,11.633191585540771,1.370853108075982,27,93,22,3,54,0,1,4,2,87,118,535,3,"Myles Straw",17620,664702
"Jermaine Palacios","MIN",30,77,2,8,6,0,0.051948051,0.35064935,0.085714286,0.186046511,0.142857142,0.184210526,0.228571428,0.1838129633351376,0.237,13.123981882042788,0.20733711682260036,-7.320287876929156,-3.307118833065033,-0.86030254523382,25,8,0,0,4,0,0,2,1,27,10,70,3,"Jermaine Palacios",18371,650339
"Danny Mendick","CHW",31,106,3,22,15,1,0.066037735,0.216981132,0.154639176,0.352112676,0.288659793,0.342857142,0.443298969,0.3436351395788647,0.273,124.77512410930575,0.3994519095867872,3.3546666693149767,0.3903491497039795,0.7449905736507567,28,20,4,1,7,0,1,0,1,23,28,97,3,"Danny Mendick",18889,664901
