Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"Sam Hilliard","COL",58,158,10,26,27,5,0.088607594,0.354430379,0.268115942,0.31081081,0.239130434,0.305194805,0.507246376,0.341869484365376,0.297,106.66311505155326,0.6975449919700623,1.9564578915247681,-0.8314957618713379,0.660388202103328,30,17,5,1,14,1,0,2,4,56,33,138,"Sam Hilliard",17954,656541
"Matt Carpenter","STL",59,157,4,15,15,0,0.095541401,0.324840764,0.138686131,0.333333333,0.233576642,0.314102564,0.372262773,0.3030310074488322,0.287,95.09502290041354,-2.197045162320137,-3.117914305832394,-4.17284619808197,-0.21221285766553544,38,21,7,0,15,0,2,2,0,51,32,137,"Matt Carpenter",8090,572761
"Pavin Smith","ARI",60,158,9,26,36,1,0.11392405,0.196202531,0.277372263,0.28,0.270072992,0.348101265,0.547445255,0.3774610286272025,0.392,142.0889655764676,-1.5734190568327904,6.378768663650442,-3.031203269958496,0.8899336209862946,28,17,11,0,18,0,0,3,0,31,37,137,"Pavin Smith",19892,656976
"James Outman","LAD",53,156,4,12,11,2,0.102564102,0.352564102,0.117647059,0.207792207,0.147058823,0.256410256,0.264705882,0.24168985317914915,0.282,54.038796640076214,-0.25887642276939005,-8.832753911595056,0.999257355928421,-0.27170973819411176,27,12,4,0,16,0,4,0,0,55,20,136,"James Outman",24770,681546
"Martín Maldonado","CHW",48,147,4,9,11,0,0.054421768,0.346938775,0.111111111,0.15,0.118518518,0.173611111,0.229629629,0.18146122909254497,0.222,10.922983618312015,-1.4263105243444443,-16.40895948080793,-3.108438014984131,-1.5083763764216913,37,9,3,0,8,0,1,0,3,51,16,135,"Martin Maldonado",6887,455117
"Luke Maile","CIN",55,154,2,8,8,2,0.084415584,0.337662337,0.074074074,0.268292682,0.177777777,0.267973856,0.251851851,0.2407010914453494,0.241,45.20038450864698,0.09452631324529648,-9.997061797443399,-2.0515328012406826,-0.7139241607413207,33,18,4,0,13,0,4,1,1,52,24,135,"Luke Maile",13355,571912
"Kris Bryant","COL",37,155,2,9,15,0,0.083870967,0.309677419,0.082706767,0.321428571,0.218045112,0.322580645,0.300751879,0.2870278969887764,0.29,69.7509675674735,-0.596352107822895,-6.203015332237923,-6.345263957977295,-0.7620861278536418,32,22,5,0,13,0,8,1,0,48,29,133,"Kris Bryant",15429,592178
"Austin Hedges","CLE",66,146,2,12,15,2,0.04109589,0.342465753,0.068181818,0.219512195,0.151515151,0.202797202,0.219696969,0.1914935778904628,0.166,19.734486824238946,-0.656572014093399,-14.065295962614503,13.16273832321167,0.4106707544229043,31,15,3,0,6,0,3,2,3,50,20,132,"Austin Hedges",12976,595978
"Danny Mendick","CHW",47,141,3,13,8,6,0.042553191,0.24822695,0.121212122,0.244680851,0.196969696,0.242857142,0.318181818,0.24723211441721235,0.256,57.187567506698436,0.8995436951518059,-6.007538498029723,-0.18706971406936646,-0.15313654434744434,30,16,7,0,6,0,2,0,1,35,26,132,"Danny Mendick",18889,664901
"Tomás Nido","- - -",49,140,4,14,12,0,0.035714285,0.25,0.123076923,0.225806451,0.192307692,0.218978102,0.315384615,0.2310289388155415,0.282,48.37099438813346,-0.6250125765800476,-9.268382102040333,5.930882088840008,0.13751724352783348,30,17,4,0,5,0,0,2,3,35,25,130,"Tomas Nido",13755,621512
