Name,PlayerId,Age,player_type,mlbamid,compound_id,display_name,position_detail,position
Eloy Jimenez,17484,29,hitter,650391,17484_hitter,Eloy Jimenez,Hitter,NA
Elvis Alvarado,21662,27,pitcher,665660,21662_pitcher,Elvis Alvarado,RP,RP
Emerson Hancock,27470,27,pitcher,676106,27470_pitcher,Emerson Hancock,SP,SP
Emilio Pagan,14771,35,pitcher,641941,14771_pitcher,Emilio Pagan,RP,RP
Emmet Sheehan,29839,26,pitcher,686218,29839_pitcher,Emmet Sheehan,SP,SP
Enmanuel De Jesus,18554,29,pitcher,646241,18554_pitcher,Enmanuel De Jesus,RP,RP
Enyel De Los Santos,18403,30,pitcher,660853,18403_pitcher,Enyel De Los Santos,RP,RP
Eric Lauer,19316,31,pitcher,641778,19316_pitcher,Eric Lauer,SP,SP
Eric Orze,27626,28,pitcher,679358,27626_pitcher,Eric Orze,RP,RP
Erick Fedde,17425,33,pitcher,607200,17425_pitcher,Erick Fedde,SP,SP
Erik Miller,26252,28,pitcher,669062,26252_pitcher,Erik Miller,RP,RP
Erik Sabrowski,24978,28,pitcher,681870,24978_pitcher,Erik Sabrowski,RP,RP
Ernie Clement,20352,30,hitter,676391,20352_hitter,Ernie Clement,Hitter,NA
Ethan Roberts,24930,28,pitcher,681799,24930_pitcher,Ethan Roberts,RP,RP
Eugenio Suarez,12552,34,hitter,553993,12552_hitter,Eugenio Suarez,Hitter,NA
Eury Perez,27768,23,pitcher,691587,27768_pitcher,Eury Perez,SP,SP
Evan Carter,27790,23,hitter,694497,27790_hitter,Evan Carter,Hitter,NA
Evan Sisk,24995,29,pitcher,681895,24995_pitcher,Evan Sisk,RP,RP
Everson Pereira,23695,25,hitter,677592,23695_hitter,Everson Pereira,Hitter,NA
Ezequiel Duran,23733,27,hitter,677649,23733_hitter,Ezequiel Duran,Hitter,NA
Ezequiel Tovar,24064,24,hitter,678662,24064_hitter,Ezequiel Tovar,Hitter,NA
Fernando Cruz,7048,36,pitcher,518585,7048_pitcher,Fernando Cruz,RP,RP
Fernando Tatis Jr.,19709,27,hitter,665487,19709_hitter,Fernando Tatis Jr.,Hitter,NA
Foster Griffin,16432,30,pitcher,656492,16432_pitcher,Foster Griffin,SP,SP
Framber Valdez,17295,32,pitcher,664285,17295_pitcher,Framber Valdez,SP,SP
Francisco Alvarez,26121,24,hitter,682626,26121_hitter,Francisco Alvarez,Hitter,NA
Francisco Lindor,12916,32,hitter,596019,12916_hitter,Francisco Lindor,Hitter,NA
Freddie Freeman,5361,36,hitter,518692,5361_hitter,Freddie Freeman,Hitter,NA
Freddy Fermin,21840,31,hitter,666023,21840_hitter,Freddy Fermin,Hitter,NA
Freddy Peralta,18679,30,pitcher,642547,18679_pitcher,Freddy Peralta,SP,SP
Gabe Speier,17170,31,pitcher,642100,17170_pitcher,Gabe Speier,RP,RP
Gabriel Arias,22563,26,hitter,672356,22563_hitter,Gabriel Arias,Hitter,NA
Gabriel Moreno,22664,26,hitter,672515,22664_hitter,Gabriel Moreno,Hitter,NA
Garrett Acton,27583,28,pitcher,670183,27583_pitcher,Garrett Acton,RP,RP
Garrett Cleavinger,17897,32,pitcher,664076,17897_pitcher,Garrett Cleavinger,RP,RP
Garrett Crochet,27463,27,pitcher,676979,27463_pitcher,Garrett Crochet,SP,SP
Garrett Mitchell,27555,27,hitter,669003,27555_hitter,Garrett Mitchell,Hitter,NA
Garrett Whitlock,20191,30,pitcher,676477,20191_pitcher,Garrett Whitlock,RP,RP
Gary Sanchez,11442,33,hitter,596142,11442_hitter,Gary Sanchez,Hitter,NA
Gavin Sheets,19901,30,hitter,657757,19901_hitter,Gavin Sheets,Hitter,NA
Gavin Williams,30122,26,pitcher,668909,30122_pitcher,Gavin Williams,SP,SP
George Kirby,25436,28,pitcher,669923,25436_pitcher,George Kirby,SP,SP
George Klassen,33464,24,pitcher,691946,33464_pitcher,George Klassen,SP,SP
George Soriano,21863,27,pitcher,666277,21863_pitcher,George Soriano,RP,RP
George Springer,12856,36,hitter,543807,12856_hitter,George Springer,Hitter,NA
Geraldo Perdomo,22799,26,hitter,672695,22799_hitter,Geraldo Perdomo,Hitter,NA
German Marquez,15038,31,pitcher,608566,15038_pitcher,German Marquez,SP,SP
Giancarlo Stanton,4949,36,hitter,519317,4949_hitter,Giancarlo Stanton,Hitter,NA
Gleyber Torres,16997,29,hitter,650402,16997_hitter,Gleyber Torres,Hitter,NA
Gordon Graceffo,29519,26,pitcher,700669,29519_pitcher,Gordon Graceffo,RP,RP
