Name,PlayerId,AVG_cur,OBP_cur,SLG_cur,K_pct_cur,BB_pct_cur,Barrel_pct_cur,BABIP_cur,wOBA_cur,xwOBA_cur,xwOBA_wOBA_gap_cur,PA_cur,Age,mlbamid,AVG_l3,OBP_l3,SLG_l3,K_pct_l3,BB_pct_l3,Barrel_pct_l3,BABIP_l3,wOBA_l3,xwOBA_l3,xwOBA_wOBA_gap_l3,PA_l3,AVG_diff,OBP_diff,SLG_diff,K_pct_diff,BB_pct_diff,Barrel_pct_diff,BABIP_diff,wOBA_diff,xwOBA_diff,xwOBA_wOBA_gap_diff,player_type,AVG_lg_adj_diff,OBP_lg_adj_diff,SLG_lg_adj_diff,K_pct_lg_adj_diff,BB_pct_lg_adj_diff,Barrel_pct_lg_adj_diff,BABIP_lg_adj_diff,wOBA_lg_adj_diff,xwOBA_lg_adj_diff,xwOBA_wOBA_gap_lg_adj_diff
Austin Hays,19363,0.233,0.25,0.326,29.545,2.273,2.273,0.31,0.244,0.283,0.039,44,30,669720,0.265,0.314,0.438,25.007,6.157,6.303,0.327,0.322,0.299,-0.023,1237,-0.032,-0.064,-0.113,4.538,-3.884,-4.03,-0.017,-0.078,-0.016,0.063,hitter,-0.03,-0.069,-0.107,4.914,-4.672,-3.804,-0.014,-0.083,-0.02,0.063
Austin Hedges,12976,0.271,0.336,0.365,16.364,9.091,1.818,0.321,0.314,0.286,-0.028,110,33,595978,0.162,0.234,0.254,26.581,7.677,1.548,0.201,0.222,0.226,0.004,538,0.109,0.102,0.111,-10.217,1.413,0.27,0.12,0.093,0.06,-0.032,hitter,0.112,0.097,0.117,-9.841,0.625,0.497,0.123,0.088,0.056,-0.032
Austin Martin,27462,0.239,0.347,0.323,18.22,12.288,1.695,0.293,0.311,0.31,-0.001,236,27,668885,0.268,0.348,0.359,17.661,10.143,2.446,0.331,0.317,0.323,0.007,438,-0.03,-0.001,-0.036,0.559,2.145,-0.751,-0.038,-0.006,-0.014,-0.008,hitter,-0.027,-0.005,-0.03,0.935,1.357,-0.525,-0.035,-0.011,-0.018,-0.007
Austin Riley,18360,0.203,0.287,0.348,28.374,8.651,6.228,0.262,0.285,0.302,0.017,289,29,663586,0.262,0.319,0.453,26.762,7,9.731,0.326,0.332,0.346,0.014,1631,-0.059,-0.032,-0.105,1.612,1.65,-3.503,-0.064,-0.047,-0.044,0.003,hitter,-0.057,-0.036,-0.099,1.988,0.862,-3.276,-0.061,-0.052,-0.049,0.003
Austin Slater,16153,0.231,0.301,0.277,28.767,9.589,1.37,0.333,0.266,0.223,-0.043,73,33,596103,0.22,0.3,0.337,30.006,9.312,5.904,0.304,0.284,0.322,0.038,579,0.01,0.002,-0.06,-1.239,0.277,-4.534,0.03,-0.018,-0.099,-0.081,hitter,0.012,-0.003,-0.054,-0.863,-0.512,-4.307,0.033,-0.022,-0.103,-0.081
Austin Wells,27562,0.166,0.278,0.255,26.627,13.609,3.55,0.206,0.247,0.303,0.056,169,26,669224,0.223,0.291,0.424,24.318,8.265,6.55,0.25,0.307,0.311,0.004,937,-0.057,-0.013,-0.168,2.309,5.344,-3,-0.044,-0.06,-0.008,0.052,hitter,-0.055,-0.018,-0.163,2.685,4.556,-2.773,-0.041,-0.065,-0.013,0.052
Austin Wynns,15271,0.075,0.125,0.075,24.561,5.263,3.509,0.103,0.101,0.265,0.164,57,35,642851,0.282,0.317,0.497,28.344,4.503,4.901,0.361,0.347,0.283,-0.064,275,-0.207,-0.192,-0.422,-3.783,0.76,-1.392,-0.258,-0.245,-0.017,0.228,hitter,-0.204,-0.197,-0.416,-3.407,-0.029,-1.165,-0.255,-0.25,-0.022,0.228
Ben Rice,29576,0.292,0.389,0.617,23.158,13.333,9.123,0.321,0.425,0.379,-0.046,285,27,700250,0.241,0.325,0.474,20.226,9.736,10.553,0.258,0.343,0.385,0.042,708,0.051,0.065,0.143,2.932,3.597,-1.43,0.062,0.081,-0.006,-0.087,hitter,0.053,0.06,0.149,3.308,2.809,-1.203,0.065,0.077,-0.01,-0.087
Ben Williamson,33197,0.25,0.324,0.327,18.966,9.195,1.149,0.311,0.296,0.305,0.009,174,25,810938,0.253,0.294,0.31,21.695,5.085,2.373,0.325,0.269,0.269,-0,295,-0.003,0.03,0.016,-2.729,4.111,-1.223,-0.014,0.027,0.036,0.009,hitter,-0.001,0.026,0.022,-2.353,3.322,-0.997,-0.011,0.023,0.032,0.009
Billy Cook,29573,0.19,0.19,0.19,38.095,0,0,0.308,0.17,0.139,-0.032,21,27,695257,0.243,0.243,0.429,35.028,0,6.78,0.321,0.286,0.298,0.012,55,-0.052,-0.052,-0.239,3.067,0,-6.78,-0.013,-0.116,-0.159,-0.044,hitter,-0.05,-0.057,-0.233,3.443,-0.788,-6.553,-0.01,-0.121,-0.164,-0.043
